Title,Critic_Score,Audience_Score
Run Rabbit Run,38%,26%
Nimona,93%,94%
Leave No Trace,100%,79%
Take Care of Maya,92%,95%
Extraction 2,79%,86%
Extraction,67%,71%
Titanic,88%,69%
A Man Called Otto,69%,97%
Missing,87%,90%
Annihilation,88%,67%
Living,96%,84%
Emily the Criminal,95%,79%
The Mule,70%,66%
Thank You for Your Service,77%,73%
Bullet Train,54%,76%
His House,100%,74%
The Nice Guys,91%,79%
Where the Crawdads Sing,34%,96%
To Leslie,93%,86%
The Power of the Dog,94%,76%
